,t1_odds,t2_odds,t1_prob,t2_prob,winner
0,459.0,-833.0,0.2857142857142857,0.7142857142857143,1.0
1,-110.0,-110.0,0.5,0.5,0.0
2,-385.0,299.0,0.4166666666666667,0.5833333333333334,1.0
3,-137.0,112.0,0.4166666666666667,0.5833333333333334,0.0
4,-139.0,106.0,0.7794117647058824,0.22058823529411764,1.0
5,179.0,-233.0,0.17647058823529413,0.8235294117647058,0.0
6,765.0,-2000.0,0.15384615384615385,0.8461538461538461,1.0
7,378.0,-588.0,0.625,0.375,1.0
8,-103.0,-127.0,0.17647058823529413,0.8235294117647058,0.0
9,185.0,-250.0,0.17647058823529413,0.8235294117647058,1.0
10,-435.0,298.0,0.375,0.625,0.0
11,-500.0,324.0,0.7794117647058824,0.22058823529411764,0.0
12,-476.0,324.0,0.7794117647058824,0.22058823529411764,0.0
13,707.0,-1667.0,0.05128205128205128,0.9487179487179487,1.0
14,-909.0,587.0,1.0,0.0,0.0
15,421.0,-714.0,0.05128205128205128,0.9487179487179487,0.0
16,-10000.0,1483.0,0.7794117647058824,0.22058823529411764,0.0
17,-127.0,-105.0,0.17647058823529413,0.8235294117647058,0.0
18,-10000.0,900.0,0.7794117647058824,0.22058823529411764,0.0
19,-238.0,181.0,0.8333333333333334,0.16666666666666666,1.0
20,179.0,-244.0,0.17647058823529413,0.8235294117647058,1.0
21,-139.0,125.0,0.8333333333333334,0.16666666666666666,1.0
22,387.0,-625.0,0.05128205128205128,0.9487179487179487,1.0
23,-10000.0,1396.0,1.0,0.0,0.0
24,-435.0,303.0,0.7794117647058824,0.22058823529411764,0.0
25,258.0,-357.0,0.05128205128205128,0.9487179487179487,1.0
26,163.0,-227.0,0.8888888888888888,0.1111111111111111,1.0
27,379.0,-625.0,0.15384615384615385,0.8461538461538461,1.0
28,116.0,-156.0,0.17647058823529413,0.8235294117647058,0.0
29,305.0,-435.0,0.05128205128205128,0.9487179487179487,1.0
30,-476.0,311.0,0.7794117647058824,0.22058823529411764,1.0
31,-189.0,142.0,0.7794117647058824,0.22058823529411764,0.0
32,121.0,-159.0,0.17647058823529413,0.8235294117647058,0.0
33,-385.0,268.0,0.5714285714285714,0.42857142857142855,1.0
34,269.0,-385.0,0.2857142857142857,0.7142857142857143,0.0
35,116.0,-154.0,0.17647058823529413,0.8235294117647058,0.0
36,-2000.0,719.0,0.7794117647058824,0.22058823529411764,0.0
37,-127.0,-105.0,0.5,0.5,0.0
38,-222.0,156.0,0.375,0.625,1.0
39,206.0,-278.0,0.05128205128205128,0.9487179487179487,1.0
40,-139.0,106.0,0.8333333333333334,0.16666666666666666,1.0
41,-3333.0,1060.0,0.7794117647058824,0.22058823529411764,0.0
42,322.0,-526.0,0.05128205128205128,0.9487179487179487,1.0
43,229.0,-312.0,0.05128205128205128,0.9487179487179487,0.0
44,-294.0,223.0,0.7794117647058824,0.22058823529411764,0.0
45,-2000.0,905.0,0.7794117647058824,0.22058823529411764,1.0
46,133.0,-179.0,0.4,0.6,1.0
47,534.0,-1000.0,0.05128205128205128,0.9487179487179487,1.0
48,167.0,-227.0,0.17647058823529413,0.8235294117647058,1.0
49,-149.0,114.0,0.5714285714285714,0.42857142857142855,1.0
50,177.0,-244.0,0.17647058823529413,0.8235294117647058,1.0
51,288.0,-435.0,0.05128205128205128,0.9487179487179487,1.0
52,-400.0,277.0,0.7794117647058824,0.22058823529411764,0.0
53,-222.0,167.0,0.4166666666666667,0.5833333333333334,1.0
54,501.0,-500.0,0.15384615384615385,0.8461538461538461,0.0
55,642.0,-1250.0,0.05128205128205128,0.9487179487179487,1.0
56,-1000.0,579.0,0.7794117647058824,0.22058823529411764,0.0
57,238.0,-526.0,0.15384615384615385,0.8461538461538461,1.0
58,-1429.0,686.0,1.0,0.0,0.0
59,175.0,-244.0,0.17647058823529413,0.8235294117647058,1.0
60,172.0,-227.0,0.4,0.6,1.0
61,-2000.0,928.0,1.0,0.0,1.0
62,169.0,-238.0,0.17647058823529413,0.8235294117647058,1.0
63,248.0,-357.0,0.15384615384615385,0.8461538461538461,1.0
64,-1000.0,543.0,0.7794117647058824,0.22058823529411764,0.0
65,-10000.0,1532.0,1.0,0.0,1.0
66,-185.0,143.0,0.0,1.0,0.0
67,204.0,-278.0,0.05128205128205128,0.9487179487179487,1.0
68,200.0,-270.0,0.05128205128205128,0.9487179487179487,1.0
69,-128.0,100.0,0.8333333333333334,0.16666666666666666,1.0
70,261.0,-370.0,0.15384615384615385,0.8461538461538461,1.0
71,-169.0,129.0,0.5714285714285714,0.42857142857142855,1.0
72,-238.0,175.0,0.7794117647058824,0.22058823529411764,1.0
73,146.0,-200.0,0.17647058823529413,0.8235294117647058,0.0
74,607.0,-1250.0,0.05128205128205128,0.9487179487179487,1.0
75,463.0,-909.0,0.05128205128205128,0.9487179487179487,1.0
76,-2000.0,875.0,1.0,0.0,0.0
77,168.0,-227.0,0.5,0.5,0.0
78,-250.0,181.0,0.7794117647058824,0.22058823529411764,0.0
79,-714.0,441.0,0.4166666666666667,0.5833333333333334,0.0
80,-112.0,-116.0,0.8888888888888888,0.1111111111111111,0.0
81,449.0,-769.0,0.15384615384615385,0.8461538461538461,0.0
82,108.0,-145.0,0.17647058823529413,0.8235294117647058,0.0
83,-105.0,-122.0,0.5,0.5,1.0
84,-455.0,308.0,1.0,0.0,0.0
85,-400.0,281.0,0.5714285714285714,0.42857142857142855,0.0
86,-3333.0,1250.0,1.0,0.0,0.0
87,-227.0,168.0,0.5714285714285714,0.42857142857142855,0.0
88,289.0,-417.0,0.05128205128205128,0.9487179487179487,1.0
89,282.0,-400.0,0.05128205128205128,0.9487179487179487,1.0
90,135.0,-179.0,0.17647058823529413,0.8235294117647058,1.0
91,-323.0,252.0,0.7794117647058824,0.22058823529411764,0.0
92,-227.0,170.0,0.7794117647058824,0.22058823529411764,0.0
93,-141.0,106.0,0.8333333333333334,0.16666666666666666,1.0
94,1169.0,-3333.0,0.05128205128205128,0.9487179487179487,1.0
